name	city	id_staz	id_reg	lat	lon	name_raw
Barbusi		S12971	20	39.203024	8.501702	BARBUSI
Barcellona		S12041	14	38.14918	15.212499	BARCELLONA
Bardonecchia		S00202	3	45.076447	6.709959	BARDONECCHIA
Barga Gallicano		S06303	13	44.068114	10.451938	BARGA GALLICANO
Bari Palese Macchie	Bari	S11118	16	41.151583	16.766902	BARI PALESE MACCHIE
Bari Parco Nord	Bari	S11148	16	41.123916	16.837018	BARI PARCO NORD
Bari Parco Nord Fascio Taranto	Bari	S11149				BARI PARCO NORD FASCIO TARANTO
Bari Parco Sud	Bari	S11125	16	41.111822	16.914736	BARI PARCO SUD
Bari S. Spirito	Bari	S11116	16	41.159653	16.746324	BARI S. SPIRITO
Bari S. Andrea	Bari	S11513	16	41.105467	16.830255	BARI S. ANDREA
Bari S. Giorgio	Bari	S11150	16	41.093779	16.950084	BARI S. GIORGIO
Bari Torre a Mare	Bari	S11126	16	41.082637	16.995772	BARI TORRE A MARE
Baricetta		S05419	12	45.060889	11.995348	BARICETTA
Barile		S11208	15	40.943044	15.670959	BARILE
Barlassina		S01926				BARLASSINA
Barletta		S11108	16	41.315227	16.278867	BARLETTA
Baronissi		S09520	18	40.743779	14.77224	BARONISSI
Barruccana		S01929				BARRUCCANA
Baschi-Montecchio		S08204	6	42.68685	12.203496	BASCHI-MONTECCHIO
Basiliano		S02832	10	46.012737	13.109233	BASILIANO
Bassano del Grappa		S02520	12	45.766697	11.741525	BASSANO DEL GRAPPA
Bassano in Teverina		S08208	6	42.483551	12.333556	BASSANO IN TEVERINA
Bassano Romano		S08312	5	42.212444	12.152302	BASSANO ROMANO
Bastia		S07007	6	43.07133	12.547735	BASTIA
Bastia Mondovi'		S00908	3	44.439398	7.891671	BASTIA MONDOVI'
Battaglia Terme		S05702	12	45.291475	11.77838	BATTAGLIA TERME
Battipaglia		S09823	18	40.605789	14.98324	BATTIPAGLIA
Bauladu Milis		S12875	20	40.020722	8.687123	BAULADU MILIS
Baveno		S01015	3	45.909105	8.502121	BAVENO
Bazzana		S00807	3	44.777094	8.401557	BAZZANA
Beaulard		S00203	3	45.046495	6.759713	BEAULARD
Beffi		S07422	19	42.197341	13.660759	BEFFI
Beinette		S00901	3	44.36782	7.644884	BEINETTE
Belgioioso		S01864	1	45.16456	9.316875	BELGIOIOSO
Belgirate		S01017	3	45.843337	8.570821	BELGIRATE
Bella Muro		S09831	15	40.700914	15.542936	BELLA MURO
Bellano Tartavelle Terme		S01409	1	46.039448	9.302776	BELLANO TARTAVELLE TERME
Bellante Ripattone		S07902	19	42.705775	13.837978	BELLANTE RIPATTONE
Bellaria		S05817	8	44.150249	12.461168	BELLARIA
Bellavista		S11512	16	40.517077	17.176892	BELLAVISTA
Bellinzago		S00985	3	45.566681	8.627652	BELLINZAGO
Bellinzona		S00300				BELLINZONA
Bellisio Solfare		S07061	11	43.520379	12.823977	BELLISIO SOLFARE
Belluno		S02559	12	46.141594	12.209703	BELLUNO
Belmonte Calabro		S11743	17	39.164427	16.064515	BELMONTE CALABRO
Belvedere Marittimo		S11732	17	39.616549	15.853039	BELVEDERE MARITTIMO
Benevento		S09311	18	41.141901	14.769998	BENEVENTO
Benevento Acquafredda		S09472				BENEVENTO ACQUAFREDDA
Benevento Appia		S09011				BENEVENTO APPIA
Benevento Arco Traiano		S09530	18	41.136834	14.777662	BENEVENTO ARCO TRAIANO
Benevento Porta Rufina		S09509	18	41.123564	14.784315	BENEVENTO PORTA RUFINA
Benevento Rione Liberta'		S09012				BENEVENTO RIONE LIBERTA'
Berceto		S06158	8	44.555912	9.931759	BERCETO
Berchidda		S12859	20	40.772052	9.181312	BERCHIDDA
Bergamasco		S00838	3	44.819891	8.461447	BERGAMASCO
Bergamo	Bergamo	S01529	1	45.690271	9.675082	BERGAMO
Bernalda		S11460	15	40.397616	16.682281	BERNALDA
Besana		S01488	1	45.702824	9.28288	BESANA
Besnate		S01145	1	45.695409	8.761072	BESNATE
Besozzo		S01141	1	45.842188	8.662997	BESOZZO
Beura Cardezza		S01007	3	46.068341	8.289627	BEURA CARDEZZA
Bevera		S04482	2	43.825303	7.579157	BEVERA
Bevilacqua		S02391	12	45.230145	11.398643	BEVILACQUA
Biagioni Lagacci		S05119	8	44.086359	10.948257	BIAGIONI LAGACCI
Bianco		S11855	17	38.089072	16.153348	BIANCO
Bianze'		S00238	3	45.309488	8.115523	BIANZE'
Bianzone		S01438	1	46.179383	10.112507	BIANZONE
Biassono-Lesmo Parco		S01483	1	45.632209	9.298408	BIASSONO-LESMO PARCO
Bibbiena		S06076				BIBBIENA
Bibbiena Corsalone		S06077				BIBBIENA CORSALONE
Bibiana		S00522	3	44.809941	7.285727	BIBIANA
Bicocca		S12338	14	37.460617	15.044594	BICOCCA
Biella Chiavazza		S00970	3	45.568084	8.066787	BIELLA CHIAVAZZA
Biella S. Paolo		S00070	3	45.557334	8.067541	BIELLA S. PAOLO
Biforco		S06611	13	44.068431	11.602243	BIFORCO
Binario S. Marco Vecchio		S06950	13	43.790336	11.267403	BINARIO S. MARCO VECCHIO
Bisceglie		S11113	16	41.235445	16.499484	BISCEGLIE
Bistagno		S00870	3	44.659256	8.372057	BISTAGNO
Bisuschio Viggiu		S01202	1	45.870658	8.887544	BISUSCHIO VIGGIU
Bitetto Palo del Colle		S11501	16	41.041481	16.74053	BITETTO PALO DEL COLLE
Bivio d'Aurisina		S03313	10	45.754253	13.655777	BIVIO D'AURISINA
Boario Terme		N00221				BOARIO TERME
Boccia al Mauro		S09763	18	40.732794	14.471878	BOCCIA AL MAURO
Bogliasco		S04709	2	44.379207	9.066042	BOGLIASCO
Boiano		S09453	7	41.487883	14.474551	BOIANO
Bolgheri		S06028	13	43.244664	10.550548	BOLGHERI
Bollate Centro		S01071				BOLLATE CENTRO
Bollate Nord		S01072				BOLLATE NORD
Bologna Borgo Panigale	Bologna	S05100	8	44.515024	11.284728	BOLOGNA BORGO PANIGALE
Bologna C. Le/AV	Bologna	S05046	8	44.50626	11.342267	BOLOGNA C. LE/AV
Bologna Corticella	Bologna	S05725	8	44.551985	11.35401	BOLOGNA CORTICELLA
Bologna Fiere	Bologna	S05020	8	44.512742	11.368809	BOLOGNA FIERE
Bologna Mazzini	Bologna	S05140	8	44.482284	11.376271	BOLOGNA MAZZINI
Bologna Ravone	Bologna	S05042	8	44.510244	11.320029	BOLOGNA RAVONE
Bologna S. Ruffillo	Bologna	S05130	8	44.462657	11.372967	BOLOGNA S. RUFFILLO
Bologna San Vitale	Bologna	S05081				BOLOGNA SAN VITALE
Bolzano	Bolzano	S02026	22	46.496346	11.358556	BOLZANO
Bolzano Novarese	Bolzano	S00014	3	45.759357	8.440754	BOLZANO NOVARESE
Bolzano Sud	Bolzano	S02226	9	46.472617	11.33334	BOLZANO SUD
Bomba Torricella		S07993				BOMBA TORRICELLA
Bonassola		S04730	2	44.184867	9.582673	BONASSOLA
Bondeno		S05165				BONDENO
Bonefro S. Croce		S09464	7	41.710522	14.860799	BONEFRO S. CROCE
Bonferraro		S02383	12	45.185651	11.009247	BONFERRARO
Bonorva		S12867	20	40.417763	8.760707	BONORVA
Bordighera		S04503	2	43.778313	7.663504	BORDIGHERA
Borgaro		S00086				BORGARO
Borghetto		S02051	9	45.696721	10.927083	BORGHETTO
Borghetto Parmense		S06100	8	44.837198	10.1177	BORGHETTO PARMENSE
Borghetto Santo Spirito		S04518	2	44.109006	8.242346	BORGHETTO SANTO SPIRITO
Borgio Verezzi		S04521	2	44.157722	8.30908	BORGIO VEREZZI
